timestamp,q0,q1,q2,q3,ax,ay,az,gx,gy,gz,mx,my,mz,alt,temp
0.00780155,1.000,-0.000,0.000,0.000,-0.014,-0.033,0.997,-0.243,0.351,0.236,0.319,-0.315,-1.942,7.937,20.877
0.0106364,1.000,-0.001,0.001,0.001,-0.002,-0.035,1.001,-0.246,0.354,0.229,0.319,-0.315,-1.942,7.937,20.877
0.0218587,1.000,-0.002,0.003,0.002,-0.011,-0.031,1.011,-0.248,0.345,0.240,0.319,-0.315,-1.942,7.937,20.877
0.0418436,1.000,-0.004,0.006,0.005,-0.012,-0.039,0.992,-0.246,0.352,0.266,0.316,-0.328,-1.926,7.821,20.881
0.0618364,1.000,-0.006,0.010,0.007,-0.010,-0.036,1.003,-0.248,0.357,0.211,0.316,-0.328,-1.926,7.821,20.881
0.0818473,1.000,-0.008,0.013,0.009,-0.011,-0.035,1.002,-0.248,0.351,0.216,0.316,-0.328,-1.926,7.821,20.881
0.10183,1.000,-0.010,0.017,0.012,-0.012,-0.034,0.988,-0.249,0.354,0.225,0.316,-0.328,-1.926,7.821,20.881
0.121844,1.000,-0.013,0.020,0.014,-0.009,-0.034,1.002,-0.248,0.352,0.255,0.316,-0.328,-1.926,8.181,20.883
0.141843,0.999,-0.015,0.024,0.016,-0.008,-0.035,0.991,-0.245,0.351,0.240,0.319,-0.313,-1.925,8.181,20.883
0.16183,0.999,-0.018,0.027,0.019,-0.000,-0.035,1.001,-0.249,0.357,0.251,0.319,-0.313,-1.925,8.181,20.883
0.181853,0.999,-0.021,0.031,0.021,-0.011,-0.031,1.012,-0.252,0.356,0.238,0.319,-0.313,-1.925,8.181,20.883
0.201823,0.999,-0.024,0.035,0.024,-0.009,-0.035,1.017,-0.245,0.359,0.252,0.319,-0.313,-1.925,8.199,20.888
0.221846,0.999,-0.027,0.039,0.026,-0.002,-0.037,0.999,-0.246,0.357,0.240,0.319,-0.313,-1.925,8.199,20.888
0.241844,0.998,-0.031,0.043,0.029,-0.015,-0.036,0.997,-0.249,0.350,0.246,0.313,-0.314,-1.921,8.199,20.888
0.261828,0.998,-0.034,0.047,0.031,-0.018,-0.031,1.011,-0.249,0.351,0.239,0.313,-0.314,-1.921,8.199,20.888
0.281848,0.997,-0.038,0.051,0.034,-0.016,-0.040,1.003,-0.249,0.349,0.257,0.313,-0.314,-1.921,8.041,20.890
0.301833,0.997,-0.042,0.055,0.036,-0.013,-0.033,1.004,-0.257,0.351,0.263,0.313,-0.314,-1.921,8.041,20.890
0.321851,0.996,-0.045,0.059,0.039,-0.014,-0.043,0.999,-0.249,0.355,0.243,0.313,-0.314,-1.921,8.041,20.890
0.341844,0.996,-0.050,0.064,0.041,-0.003,-0.044,0.995,-0.249,0.357,0.235,0.323,-0.317,-1.941,8.041,20.890
0.361831,0.995,-0.054,0.068,0.043,-0.013,-0.039,1.002,-0.256,0.351,0.234,0.323,-0.317,-1.941,8.116,20.890
0.381847,0.995,-0.059,0.073,0.046,-0.015,-0.035,0.990,-0.252,0.356,0.214,0.323,-0.317,-1.941,8.116,20.890
0.401825,0.994,-0.063,0.077,0.048,-0.014,-0.045,1.016,-0.247,0.354,0.241,0.323,-0.317,-1.941,8.116,20.890
0.42185,0.993,-0.068,0.082,0.050,-0.011,-0.032,0.994,-0.243,0.354,0.221,0.323,-0.317,-1.941,8.116,20.890
0.44184,0.992,-0.074,0.087,0.052,-0.024,-0.030,1.007,-0.243,0.355,0.227,0.330,-0.316,-1.956,8.041,20.900
0.461838,0.991,-0.079,0.092,0.054,-0.014,-0.037,0.999,-0.252,0.351,0.222,0.330,-0.316,-1.956,8.041,20.900
0.481848,0.990,-0.085,0.097,0.057,-0.003,-0.035,1.000,-0.246,0.357,0.241,0.330,-0.316,-1.956,8.041,20.900
0.501822,0.989,-0.091,0.103,0.059,-0.015,-0.035,1.006,-0.247,0.360,0.232,0.330,-0.316,-1.956,8.041,20.900
0.521851,0.987,-0.097,0.108,0.061,-0.013,-0.034,0.994,-0.251,0.357,0.228,0.330,-0.316,-1.956,7.856,20.896
0.541838,0.986,-0.104,0.114,0.063,-0.019,-0.030,1.000,-0.249,0.346,0.235,0.317,-0.316,-1.919,7.856,20.896
0.561833,0.984,-0.111,0.119,0.066,-0.009,-0.025,0.989,-0.249,0.346,0.250,0.317,-0.316,-1.919,7.856,20.896
0.581827,0.983,-0.118,0.125,0.068,-0.006,-0.028,1.005,-0.249,0.359,0.244,0.317,-0.316,-1.919,7.856,20.896
0.601825,0.981,-0.126,0.131,0.070,-0.019,-0.027,1.004,-0.246,0.361,0.272,0.317,-0.316,-1.919,7.856,20.896
0.621843,0.979,-0.133,0.137,0.073,-0.013,-0.036,1.003,-0.242,0.348,0.233,0.317,-0.316,-1.919,7.719,20.902
0.641841,0.977,-0.141,0.144,0.075,-0.009,-0.031,1.006,-0.256,0.355,0.236,0.321,-0.317,-1.947,7.719,20.902
0.661832,0.974,-0.150,0.150,0.077,-0.009,-0.040,1.007,-0.251,0.359,0.238,0.321,-0.317,-1.947,7.719,20.902
0.686555,0.971,-0.161,0.158,0.079,-0.015,-0.032,1.012,-0.251,0.355,0.223,0.321,-0.317,-1.947,7.351,20.906
0.701849,0.969,-0.168,0.163,0.081,-0.009,-0.028,1.004,-0.247,0.356,0.240,0.321,-0.317,-1.947,7.351,20.906
0.721835,0.966,-0.177,0.170,0.083,-0.006,-0.035,0.997,-0.249,0.355,0.251,0.321,-0.317,-1.947,7.351,20.906
0.741847,0.963,-0.187,0.178,0.085,-0.016,-0.035,1.000,-0.252,0.350,0.251,0.318,-0.323,-1.948,7.351,20.906
0.76184,0.959,-0.197,0.185,0.087,-0.011,-0.032,1.008,-0.252,0.359,0.241,0.318,-0.323,-1.948,7.351,20.906
0.781841,0.955,-0.207,0.192,0.089,-0.013,-0.040,0.993,-0.251,0.349,0.251,0.318,-0.323,-1.948,7.748,20.902
0.801833,0.951,-0.218,0.200,0.091,-0.013,-0.036,1.001,-0.241,0.348,0.249,0.318,-0.323,-1.948,7.748,20.902
0.821858,0.946,-0.229,0.208,0.093,-0.013,-0.039,1.011,-0.252,0.351,0.252,0.318,-0.323,-1.948,7.748,20.902
0.841855,0.942,-0.240,0.216,0.094,-0.015,-0.037,1.012,-0.248,0.351,0.256,0.304,-0.311,-1.952,7.748,20.902
0.861836,0.936,-0.252,0.224,0.096,-0.013,-0.032,1.008,-0.242,0.357,0.257,0.304,-0.311,-1.952,7.935,20.906
0.881847,0.931,-0.264,0.233,0.098,-0.008,-0.034,1.002,-0.254,0.349,0.273,0.304,-0.311,-1.952,7.935,20.906
0.901848,0.925,-0.277,0.241,0.099,-0.014,-0.039,0.998,-0.241,0.343,0.213,0.304,-0.311,-1.952,7.935,20.906
0.921853,0.919,-0.290,0.250,0.101,-0.014,-0.031,0.999,-0.254,0.351,0.233,0.317,-0.317,-1.938,7.935,20.906
0.941843,0.912,-0.303,0.258,0.102,-0.006,-0.036,0.997,-0.247,0.357,0.233,0.317,-0.317,-1.938,7.721,20.908
0.961837,0.904,-0.316,0.267,0.103,-0.009,-0.049,0.990,-0.240,0.352,0.234,0.317,-0.317,-1.938,7.721,20.908
0.981852,0.897,-0.330,0.276,0.104,-0.010,-0.030,1.000,-0.243,0.363,0.233,0.317,-0.317,-1.938,7.721,20.908
1.00185,0.888,-0.344,0.285,0.105,-0.009,-0.033,1.002,-0.245,0.351,0.224,0.317,-0.317,-1.938,7.721,20.908
1.02185,0.880,-0.359,0.294,0.106,-0.004,-0.032,1.012,-0.246,0.355,0.244,0.316,-0.314,-1.925,7.435,20.908
1.04186,0.870,-0.374,0.303,0.107,-0.012,-0.035,0.988,-0.251,0.357,0.239,0.316,-0.314,-1.925,7.435,20.908
1.06184,0.860,-0.389,0.312,0.107,-0.013,-0.027,0.985,-0.248,0.351,0.232,0.316,-0.314,-1.925,7.435,20.908
1.08185,0.850,-0.403,0.321,0.108,-0.010,-0.038,1.012,-0.240,0.352,0.276,0.316,-0.314,-1.925,7.435,20.908
1.10186,0.839,-0.419,0.330,0.109,-0.008,-0.030,1.002,-0.238,0.359,0.258,0.316,-0.314,-1.925,7.455,20.910
1.12185,0.827,-0.434,0.339,0.109,-0.015,-0.035,1.008,-0.245,0.344,0.251,0.320,-0.325,-1.928,7.455,20.910
1.14185,0.815,-0.450,0.349,0.109,-0.008,-0.033,1.019,-0.247,0.356,0.230,0.320,-0.325,-1.928,7.455,20.910
1.16184,0.802,-0.465,0.358,0.109,-0.007,-0.034,1.009,-0.252,0.351,0.245,0.320,-0.325,-1.928,7.455,20.910
1.18184,0.789,-0.481,0.367,0.109,-0.019,-0.031,1.003,-0.251,0.349,0.244,0.320,-0.325,-1.928,7.699,20.913
1.20184,0.775,-0.495,0.377,0.111,-0.014,-0.031,1.006,-0.243,0.359,0.549,0.320,-0.325,-1.928,7.699,20.913
